Yr	Crs No	Section	Current Enrlmnt	Percentageof Enrollment	Limit/Est Enrlmnt	Start Time	End Time
2011	126	F 	28	80	35	1050	1150
2011	126	B 	32	80	40	940	1040
2014	126	A 	28	80	35	110	210
2015	126	B 	24	80	30	940	1040
2016	126	C 	32	80	40	1050	1150
2017	126	D 	32	80	40	1200	100
2010	126	C 	37	82.22222222	45	1050	1150
2009	126	C 	38	84.44444444	45	1050	1150
2010	126	B 	38	84.44444444	45	940	1040
2011	126	A 	34	85	40	110	210
2009	126	D 	39	86.66666667	45	1200	100
2008	126	C 	31	88.57142857	35	1050	1150
2014	126	C 	31	88.57142857	35	1050	1150
2012	126	D 	36	90	40	1200	100
2016	126	A 	36	90	40	110	210
2012	126	B 	37	92.5	40	940	1040
2016	126	D 	37	92.5	40	1200	100
2017	126	C 	37	92.5	40	1050	1150
2017	126	E 	37	92.5	40	940	1040
2018	126	D 	37	92.5	40	1200	100
2015	126	A 	28	93.33333333	30	110	210
2015	126	C 	28	93.33333333	30	1050	1150
2015	126	D 	28	93.33333333	30	1200	100
2015	126	E 	28	93.33333333	30	940	1040
2011	126	D 	38	95	40	1200	100
2011	126	E 	38	95	40	940	1040
2013	126	D 	38	95	40	1200	100
2014	126	B 	29	96.66666667	30	940	1040
2015	126	F 	29	96.66666667	30	1050	1150
2013	126	F 	34	97.14285714	35	1050	1150
2014	126	D 	34	97.14285714	35	1200	100
2016	126	E 	39	97.5	40	940	1040
2013	126	A 	40	100	40	110	210
2016	307	E 	13	37.14285714	35	940	1150
2017	307	F 	16	45.71428571	35	1050	100
2018	307	F 	16	45.71428571	35	1050	100
2012	307	E 	18	51.42857143	35	940	1040
2015	307	A 	17	56.66666667	30	940	1040
2017	307	E 	20	57.14285714	35	940	1150
2015	307	E 	18	60	30	940	1150
2008	307	C 	23	65.71428571	35	1200	100
2014	307	A 	24	68.57142857	35	940	1040
2018	307	E 	24	68.57142857	35	940	1150
2014	307	E 	25	71.42857143	35	940	1040
2010	307	E 	18	72	25	940	1040
2010	307	B 	26	74.28571429	35	1050	1150
2011	307	C 	26	74.28571429	35	1200	100
2011	307	E 	26	74.28571429	35	940	1040
2017	307	A 	26	74.28571429	35	940	1040
2009	307	E 	23	76.66666667	30	940	1040
2008	307	B 	27	77.14285714	35	1050	1150
2011	307	A 	27	77.14285714	35	940	1040
2011	307	B 	27	77.14285714	35	1050	1150
2013	307	C 	27	77.14285714	35	1200	100
2013	307	E 	27	77.14285714	35	940	1040
2016	307	B 	27	77.14285714	35	1050	1150
2018	307	D 	27	77.14285714	35	110	210
2013	307	B 	28	80	35	1050	1150
2016	307	D 	28	80	35	110	210
2008	307	A 	29	82.85714286	35	940	1040
2010	307	C 	29	82.85714286	35	1200	100
2012	307	D 	29	82.85714286	35	110	210
2013	307	D 	29	82.85714286	35	110	210
2017	307	D 	29	82.85714286	35	110	210
2018	307	A 	29	82.85714286	35	940	1040
2009	307	B 	25	83.33333333	30	1050	1150
2015	307	D 	25	83.33333333	30	110	210
2015	307	F 	25	83.33333333	30	1050	100
2012	307	B 	34	85	40	1050	1150
2011	307	D 	30	85.71428571	35	110	210
2009	307	C 	26	86.66666667	30	1200	100
2012	307	A 	35	87.5	40	940	1040
2010	307	A 	22	88	25	940	1040
2012	307	C 	31	88.57142857	35	1200	100
2014	307	D 	31	88.57142857	35	110	210
2017	307	C 	31	88.57142857	35	1200	100
