Yr,Crs No,Section,Current Enrlmnt,Percentageof Enrollment,Limit/Est Enrlmnt,Start Time
2017,124,A ,16,45.714285714285715,35,110
2017,124,B ,30,85.71428571428571,35,940
2017,124,C ,29,82.85714285714286,35,1050
2018,124,A ,18,51.42857142857143,35,1200
2018,124,B ,20,57.142857142857146,35,940
2018,124,C ,20,57.142857142857146,35,1050
2008,125,A ,10,28.571428571428573,35,110
2008,125,B ,14,40.0,35,940
2008,125,C ,21,60.0,35,1050
2008,125,D ,28,80.0,35,1200
2009,125,A ,24,68.57142857142857,35,110
2009,125,B ,24,80.0,30,940
2009,125,C ,23,76.66666666666667,30,1050
2009,125,D ,24,96.0,25,1200
2010,125,A ,25,71.42857142857143,35,110
2010,125,B ,29,82.85714285714286,35,940
2010,125,C ,31,88.57142857142857,35,1050
2010,125,D ,32,91.42857142857143,35,1200
2011,125,A ,20,66.66666666666667,30,110
2011,125,B ,21,70.0,30,940
2011,125,C ,24,80.0,30,1050
2011,125,D ,21,70.0,30,1200
2011,125,E ,29,96.66666666666667,30,940
2012,125,A ,27,77.14285714285714,35,110
2012,125,B ,23,65.71428571428571,35,940
2012,125,C ,27,77.14285714285714,35,1050
2012,125,D ,33,94.28571428571429,35,1200
2012,125,E ,18,51.42857142857143,35,940
2013,125,A ,28,80.0,35,110
2013,125,B ,21,84.0,25,940
2013,125,C ,23,76.66666666666667,30,1050
2013,125,D ,27,90.0,30,1200
2013,125,E ,21,60.0,35,940
2014,125,A ,25,71.42857142857143,35,110
2014,125,B ,28,80.0,35,940
2014,125,C ,32,91.42857142857143,35,1050
2014,125,D ,25,71.42857142857143,35,1200
2015,125,A ,18,60.0,30,110
2015,125,B ,34,97.14285714285714,35,940
2015,125,C ,25,83.33333333333333,30,1050
2015,125,D ,19,63.333333333333336,30,1200
2016,125,A ,8,22.857142857142858,35,110
2016,125,B ,29,82.85714285714286,35,940
2016,125,C ,26,86.66666666666667,30,1050
2016,125,D ,26,74.28571428571429,35,1200
2017,125,B ,28,80.0,35,940
2017,125,C ,33,94.28571428571429,35,1050
2017,125,D ,33,94.28571428571429,35,1200
2018,125,B ,32,91.42857142857143,35,940
2018,125,C ,29,82.85714285714286,35,1050
2018,125,D ,34,97.14285714285714,35,1200
2008,126,A ,25,71.42857142857143,35,110
2008,126,B ,28,80.0,35,940
2008,126,C ,31,88.57142857142857,35,1050
2008,126,D ,23,65.71428571428571,35,1200
2009,126,A ,32,71.11111111111111,45,110
2009,126,B ,34,75.55555555555556,45,940
2009,126,C ,38,84.44444444444444,45,1050
2009,126,D ,39,86.66666666666667,45,1200
2010,126,A ,32,71.11111111111111,45,110
2010,126,B ,38,84.44444444444444,45,940
2010,126,C ,37,82.22222222222223,45,1050
2010,126,D ,34,75.55555555555556,45,1200
2010,126,E ,20,57.142857142857146,35,940
2011,126,A ,34,85.0,40,110
2011,126,B ,32,80.0,40,940
2011,126,C ,25,62.5,40,1050
2011,126,D ,38,95.0,40,1200
2011,126,E ,38,95.0,40,940
2011,126,F ,28,80.0,35,1050
2012,126,A ,31,77.5,40,110
2012,126,B ,37,92.5,40,940
2012,126,C ,22,55.0,40,1050
2012,126,D ,36,90.0,40,1200
2012,126,E ,24,60.0,40,940
2012,126,F ,23,65.71428571428571,35,1050
2013,126,A ,40,100.0,40,110
2013,126,B ,18,51.42857142857143,35,940
2013,126,C ,29,72.5,40,1050
2013,126,D ,38,95.0,40,1200
2013,126,E ,31,77.5,40,940
2013,126,F ,34,97.14285714285714,35,1050
2014,126,A ,28,80.0,35,110
2014,126,B ,29,96.66666666666667,30,940
2014,126,C ,31,88.57142857142857,35,1050
2014,126,D ,34,97.14285714285714,35,1200
2014,126,E ,25,71.42857142857143,35,940
2014,126,F ,20,57.142857142857146,35,1050
2015,126,A ,28,93.33333333333333,30,110
2015,126,B ,24,80.0,30,940
2015,126,C ,28,93.33333333333333,30,1050
2015,126,D ,28,93.33333333333333,30,1200
2015,126,E ,28,93.33333333333333,30,940
2015,126,F ,29,96.66666666666667,30,1050
2016,126,A ,36,90.0,40,110
2016,126,C ,32,80.0,40,1050
2016,126,D ,37,92.5,40,1200
2016,126,E ,39,97.5,40,940
2016,126,F ,27,77.14285714285714,35,1050
2017,126,A ,22,55.0,40,110
2017,126,C ,37,92.5,40,1050
2017,126,D ,32,80.0,40,1200
2017,126,E ,37,92.5,40,940
2017,126,F ,11,27.5,40,1050
2018,126,A ,30,75.0,40,110
2018,126,B ,26,65.0,40,940
2018,126,C ,30,75.0,40,1050
2018,126,D ,37,92.5,40,1200
2018,126,E ,17,42.5,40,940
